site	air_mean_temp	alt	slope_per	din	ppo4	tmean	DOmean	flow_vel	discharge	NDVI100m	algal.production	GPP.mle	ER.mle	K600_hyd	pCH4	pCO2	FCH4.h	FCO2.h	do.def	ch4co2_ratio	pceq	perCH4	NEP.mle
site1	28.82	194	0.058	1.606	0.68	19.6	7.9	0.096	0.024	0.17	0.105551333	8.73	-78.52	17.59127751	3.5	2116.9	1.251146502	2400.880718	1.06128413758777	0.00454674287873778	2214.9	0.0442457898776468	-69.79
site2	28.5	195	0.16	1.006	0.57	18.4	8.7	0.145	0.031	0.55	0.018037333	10.15	-93.07	54.77044058	4	884.9	4.945120679	2024.885058	0.480137821843448	0.0124307831393378	996.9	0.112348279666968	-82.92
site3	8.74	607	0.027	0.303	0.03	12.2	9.4	0.083	0.032	0.52	0.062679273	5.44	-25.69	8.715306137	2.4	642.9	0.173203888	133.1215188	0.556378886518175	0.0102659822678488	710.1	0.0946345585128855	-20.25
site4	18.97	458	0.079	0.227	0.24	17.9	7.8	0.037	0.006	0.73	0.015940457	6.61	-35.36	9.94653399	4.5	1050.4	1.011708127	468.6955386	1.1812676541443	0.011781226199543	1176.4	0.107106426385583	-28.75
site5	18.97	496	0.031	0.517	0.07	19.7	7.2	0.077	0.038	0.33	0.060116	15.75	-51.08	9.003090657	5.3	512.3	1.256707411	69.43334366	1.41912772676948	0.028450126878782	660.7	0.224610261843499	-35.33
site6	18.51	652	0.147	0.216	0.04	19.2	8.3	0.047	0.013	0.71	0.038013217	9.54	-28.7	19.71604189	3.7	780.4	1.433868944	549.1206029	0.244130497556965	0.0130381855458739	884	0.117194570135747	-19.16
site7	19.79	131	0.059	0.407	0	21.1	8.1	0.211	0.42	0.4	0.0763296	80.65	-283.89	34.97684061	3.2	728.5	1.945178095	859.3167914	0.658849908232156	0.012079615648593	818.1	0.109522063317443	-203.24
site8	20.73	67	0.016	0.526	0.29	21.3	8.6	0.193	0.538	0.51	0.09744	24.59	-51.28	11.84664776	5.4	585.6	1.732159477	159.0713909	0.192007293460639	0.025358606557377	736.8	0.205211726384365	-26.69
site9	22.47	604	0.126	0.026	0.02	17.2	8.6	0.065	0.013	0.77	0.022199415	2.99	-25.99	23.20362667	3.2	497.2	1.199059006	142.3241659	0.36283238520117	0.0176991150442478	586.8	0.152692569870484	-23
site10	23.32	288	0.203	0.206	0.06	20.7	8.3	0.047	0.147	0.07	0.044781538	82.76	-144.3	25.32365154	4	723.3	2.268669311	610.3930024	0.367214394530192	0.0152080741047975	835.3	0.134083562791811	-61.54
site11	24.33	381	0.102	0.317	0.1	19	8.5	0.081	0.105	0.59	0.034819291	12.55	-61.67	23.64948495	4.2	881.4	2.213155856	841.2876351	0.370073491267506	0.0131041524846835	999	0.117717717717718	-49.12
site12	23.05	33	0.032	1.415	0.18	18.4	8.5	0.186	0.15	0.07	0.141637943	25	-180.28	19.66172053	4.5	879.9	2.082319051	702.0349156	0.853169067208066	0.0140640981929765	1005.9	0.125260960334029	-155.28
site13	21.71	930	0.032	0.247	0.22	19.7	6.6	0.028	0.074	0.64	0.080829257	12.88	-60.71	3.951307852	11.1	1776.5	1.460780321	415.6239171	1.59058216531312	0.0171826625386997	2087.3	0.148900493460451	-47.83
site14	21.71	898	0.023	0.236	0.12	18.6	7.4	0.226	0.405	0.63	0.129712457	52.07	-161.82	17.71547847	8.1	944.6	4.315140022	713.9700179	1.00744883346785	0.023581410120686	1171.4	0.193614478401912	-109.75
site15	18.95	129	0.047	0.316	0.41	22.8	8.2	0.091	0.503	0.27	0.094336	61.98	-104.52	14.25629004	4	334.8	1.405386642	-93.82949589	0.277790442118963	0.0328554360812425	446.8	0.250671441360788	-42.54
site16	22.44	34	0.032	3.357	0.115	20.6	7.1	0.026	0.065	0.12	0.163725714	76.42	-170.93	3.736855724	8.1	1418.1	0.521330612	226.3708578	1.84869468484816	0.0157076369790565	1644.9	0.137880722232355	-94.51
site17	22.47	402	0.174	0.226	0.1	22.7	7.5	0.049	0.126	0.57	0.032476098	37.2	-137.85	23.4432235	3.6	653.5	1.868610568	460.989325	0.724204964206882	0.0151491966335119	754.3	0.133633832692563	-100.65
site18	20.75	143	0.021	2.821	0.42	23	6.2	0.323	0.368	0.52	0.545578667	226.74	-613.98	22.54671627	17.9	1522	16.93602625	2141.032935	2.23226623200968	0.0323423127463863	2023.2	0.247726374060894	-387.24
site19	20.61	220	0.014	1.789	0.16	18.6	6.8	0.054	0.003	0.09	0.311233412	-0.82	-9.53	3.703841334	3.4	2817.4	0.224059978	665.5685557	2.31012850262169	0.00331866259672038	2912.6	0.0326855730275355	-10.35
site20	24.41	474	0.056	0.877	0.16	16.5	8.9	0.1	0.319	0.44	0.071031771	9.26	-111.67	17.96983412	2.7	674.5	0.604551123	341.7101168	0.339457306133781	0.0110081541882876	750.1	0.100786561791761	-102.41
site21	25.08	238	0.058	1.247	0.14	19.5	8.2	0.216	0.106	0.07	0.126047086	21.8	-88.42	35.12041333	3.8	913.3	2.874568718	1379.015384	0.730549411699821	0.0114420234315121	1019.7	0.104344415024027	-66.62
site22	20.28	710	0.201	0.027	0.1	15.9	9	0.048	0.008	0.6	0.036761647	3.63	-13.11	25.39484069	2.7	596.4	0.833118194	341.7644325	0.0922479918642711	0.0124496981891348	672	0.1125	-9.48
site23	20.28	873	0.146	0.127	0.06	17.1	7.1	0.015	0.001	0.71	0.030972235	1.68	-12.45	7.529680523	3.8	1390	0.560711524	539.8586795	1.59420188666627	0.00751798561151079	1496.4	0.0711039828922748	-10.77
site24	20.76	823	0.061	0.117	0.07	22.5	7.8	0.083	0.204	0.5	0.072504	33.55	-45.56	16.17331312	3	546.3	0.819096216	176.2758829	0.0479054437341579	0.0151015925315761	630.3	0.133269871489767	-12.01
site25	22.87	64	0.051	2.836	2.7	20.7	7.6	0.083	0.101	0.1	0.166140343	53.26	-221.22	14.07511195	4.2	1784.6	1.42108095	1548.90182	1.29952739372849	0.00647203855205648	1902.2	0.0618231521396278	-167.96
site26	22.12	47	0.072	1.326	0.16	19	8.5	0.026	0.015	0.07	0.0427576	1.93	-39.16	6.820562608	3.6	1236	0.478075395	433.0333708	0.724562540396009	0.00800970873786408	1336.8	0.0754039497307002	-37.23
site27	20.28	842	0.083	0.048	0.05	17.3	8.3	0.046	0.03	0.6	0.023363294	14.02	-71.65	12.40968214	3.2	709.1	0.652719588	278.3086754	0.389869691004586	0.0124100973064448	798.7	0.112182296231376	-57.63
site28	25.87	52	0.025	4.685	0.29	21.6	5.7	0.112	0.066	0	0.145568229	32.46	-86.96	10.61150506	7.3	1674.3	2.511726409	1084.853633	3.05748557978332	0.0119900854088276	1878.7	0.108798637355618	-54.5
site29	26.2	62	0.082	2.116	0.08	20.3	7.3	0.063	0.022	0.07	0.194125714	8.21	-68.31	16.08430997	4.3	1917.7	1.573641679	1844.523883	1.67287149745171	0.00616624080930281	2038.1	0.0590746283303076	-60.1
site30	26.24	162	0.035	2.315	2.82	22.2	8	0.189	0.04	0.02	0.052461714	35.5	-63.41	21.48414993	7.3	994.8	5.180566701	1025.316519	0.545810213503319	0.0201799356654604	1199.2	0.170446964643095	-27.91
site31	21.46	243	0.115	0.307	0.07	18.6	8.7	0.139	0.218	0.07	0.034012235	28.81	-144.15	41.19712193	4.3	601.1	4.249265366	611.8722375	0.386011410189724	0.0196722675095658	721.5	0.166874566874567	-115.34
site32	22.35	117	0.043	1.808	0.23	22.3	7.3	0.117	0.028	0.03	0.226154286	29.59	-113.75	16.72100467	9.4	1322.8	5.174627118	1193.983807	1.27298621846959	0.0195418808587844	1586	0.165952080706179	-84.16
site33	22.8	873	0.032	0.247	0.1	15	7.5	0.069	0.002	0.36	0.012194743	0.09	-6.52	8.508979905	13.8	1744.6	3.44655987	792.8070294	1.60058988994503	0.0217528373266078	2131	0.181323322383857	-6.43
site34	21.56	706	0.102	0.227	0.08	18.7	7.5	0.153	0.219	0.25	0.113068457	50.99	-192.99	40.70994428	14.5	1947.7	19.47967934	4669.395919	1.08319677172961	0.0204728654310212	2353.7	0.172494370565493	-142
